deleted_path,kept_path,group_size
articles/2008/685-pg168.1_013.txt,articles/2008/220-pg168.1_013.txt,2
articles/2008/685-pg168.1_014.txt,articles/2008/220-pg168.1_014.txt,2
articles/2008/685-pg168.1_015.txt,articles/2008/220-pg168.1_015.txt,2
articles/2008/685-pg168.1_016.txt,articles/2008/220-pg168.1_016.txt,2
articles/2008/685-pg168.1_017.txt,articles/2008/220-pg168.1_017.txt,2
articles/2008/685-pg168.1_018.txt,articles/2008/221-pg168.2_001.txt,2
articles/2008/686-pg168.2_001.txt,articles/2008/221-pg168.2_002.txt,2
articles/2008/221-pg168.2_007.txt,articles/2008/221-pg168.2_003.txt,4
articles/2008/686-pg168.2_002.txt,articles/2008/221-pg168.2_003.txt,4
articles/2008/686-pg168.2_006.txt,articles/2008/221-pg168.2_003.txt,4
articles/2008/686-pg168.2_003.txt,articles/2008/221-pg168.2_004.txt,2
articles/2008/686-pg168.2_004.txt,articles/2008/221-pg168.2_005.txt,2
articles/2008/686-pg168.2_005.txt,articles/2008/221-pg168.2_006.txt,2
articles/2008/686-pg168.2_007.txt,articles/2008/221-pg168.2_008.txt,2
articles/2008/686-pg168.2_008.txt,articles/2008/221-pg168.2_009.txt,2
articles/2008/221-pg168.2_015.txt,articles/2008/221-pg168.2_010.txt,4
articles/2008/686-pg168.2_009.txt,articles/2008/221-pg168.2_010.txt,4
articles/2008/686-pg168.2_014.txt,articles/2008/221-pg168.2_010.txt,4
articles/2008/686-pg168.2_010.txt,articles/2008/221-pg168.2_011.txt,2
articles/2008/686-pg168.2_011.txt,articles/2008/221-pg168.2_012.txt,2
articles/2008/686-pg168.2_012.txt,articles/2008/221-pg168.2_013.txt,2
articles/2008/686-pg168.2_013.txt,articles/2008/221-pg168.2_014.txt,2
articles/2008/686-pg168.2_015.txt,articles/2008/221-pg168.2_016.txt,2
articles/2008/686-pg168.2_016.txt,articles/2008/221-pg168.2_017.txt,2
articles/2008/222-pg168.3_006.txt,articles/2008/222-pg168.3_001.txt,4
articles/2008/686-pg168.2_017.txt,articles/2008/222-pg168.3_001.txt,4
articles/2008/687-pg168.3_003.txt,articles/2008/222-pg168.3_001.txt,4
articles/2008/686-pg168.2_018.txt,articles/2008/222-pg168.3_002.txt,2
articles/2008/687-pg168.3_001.txt,articles/2008/222-pg168.3_003.txt,2
articles/2008/222-pg168.3_005.txt,articles/2008/222-pg168.3_004.txt,3
articles/2008/687-pg168.3_002.txt,articles/2008/222-pg168.3_004.txt,3
articles/2008/687-pg168.3_004.txt,articles/2008/222-pg168.3_007.txt,2
articles/2008/687-pg168.3_005.txt,articles/2008/222-pg168.3_008.txt,2
articles/2008/687-pg168.3_006.txt,articles/2008/222-pg168.3_009.txt,2
articles/2008/687-pg168.3_007.txt,articles/2008/222-pg168.3_010.txt,2
articles/2008/687-pg168.3_008.txt,articles/2008/222-pg168.3_011.txt,2
articles/2008/687-pg168.3_009.txt,articles/2008/222-pg168.3_012.txt,2
articles/2008/687-pg168.3_010.txt,articles/2008/222-pg168.3_013.txt,2
articles/2008/687-pg168.3_011.txt,articles/2008/222-pg168.3_014.txt,2
articles/2008/687-pg168.3_012.txt,articles/2008/222-pg168.3_015.txt,2
articles/2008/687-pg168.3_013.txt,articles/2008/222-pg168.3_016.txt,2
articles/2008/662-pg160.2_012.txt,articles/2008/662-pg160.2_009.txt,2
articles/2008/663-pg160.3_013.txt,articles/2008/663-pg160.3_009.txt,2
articles/2008/664-pg161.1_008.txt,articles/2008/663-pg160.3_014.txt,2
articles/2008/664-pg161.1_006.txt,articles/2008/664-pg161.1_001.txt,2
articles/2008/664-pg161.1_012.txt,articles/2008/664-pg161.1_009.txt,2
articles/2008/665-pg161.2_009.txt,articles/2008/665-pg161.2_005.txt,2
articles/2008/665-pg161.2_011.txt,articles/2008/665-pg161.2_006.txt,2
articles/2008/665-pg161.2_010.txt,articles/2008/665-pg161.2_008.txt,2
articles/2008/666-pg161.3_005.txt,articles/2008/665-pg161.2_019.txt,2
articles/2008/666-pg161.3_006.txt,articles/2008/666-pg161.3_002.txt,2
articles/2008/667-pg162.1_002.txt,articles/2008/666-pg161.3_011.txt,2
articles/2008/667-pg162.1_013.txt,articles/2008/667-pg162.1_007.txt,2
articles/2008/667-pg162.1_012.txt,articles/2008/667-pg162.1_011.txt,2
articles/2008/668-pg162.2_019.txt,articles/2008/668-pg162.2_018.txt,2
articles/2008/670-pg163.1_001.txt,articles/2008/669-pg162.3_011.txt,2
articles/2008/670-pg163.1_016.txt,articles/2008/670-pg163.1_013.txt,2
articles/2008/671-pg163.2_002.txt,articles/2008/670-pg163.1_015.txt,2
articles/2008/671-pg163.2_018.txt,articles/2008/671-pg163.2_016.txt,2
articles/2008/672-pg163.3_001.txt,articles/2008/671-pg163.2_017.txt,2
articles/2008/674-pg164.2_007.txt,articles/2008/674-pg164.2_004.txt,2
articles/2008/674-pg164.2_013.txt,articles/2008/674-pg164.2_011.txt,2
